objid,specobjid,class,run,rerun,camcol,field,ra,dec,redshift,dered_u,deVRad_u,psffwhm_u,extinction_u,dered_g,deVRad_g,psffwhm_g,extinction_g,dered_r,deVRad_r,psffwhm_r,extinction_r,dered_i,deVRad_i,psffwhm_i,extinction_i,dered_z,deVRad_z,psffwhm_z,extinction_z,u_g,g_r,r_i,i_z
1237665330397184209,7.31385332330793e+18,GALAXY,4623,301,4,292,206.333193069044,30.7979360663731,0.1688723,21.22404,0.70788,1.719983,0.05373072,20.37895,0.216381,1.534842,0.04186662,20.05047,0.2626083,1.432491,0.02896313,19.8233,0.3653944,1.347949,0.02152271,20.04557,0.0006010146,1.340025,0.01600894,0.8569508,0.341383,0.2346153,-0.2167587
1237667324332408972,6.719522483278729e+18,GALAXY,5087,301,6,241,189.349003696514,28.4351413247131,0.1405357,21.72457,0.3674232,1.58133,0.08081611,20.59187,0.1633301,1.539565,0.06297137,19.96593,0.2099228,1.183921,0.0435633,19.56618,0.1769795,1.171418,0.0323722,19.27971,0.5688224,1.272224,0.02407897,1.150541,0.6453495,0.4109402,0.2947636
1237678889596813594,4.894466488130621e+18,GALAXY,7780,301,4,107,30.6760767539267,-2.1283201630622,0.4741558,25.25229,0.0004131346,1.251596,0.1073164,21.75193,0.56832,1.214663,0.08362024,19.97684,0.4822662,1.091539,0.05784809,19.20334,0.6058392,1.006519,0.04298733,18.8239,0.6019181,0.9036357,0.03197468,3.524061,1.800861,0.7883587,0.3904514
1237663530798415990,2.0086569102150472e+18,GALAXY,4204,301,4,178,129.465048497797,57.3786889879892,0.3992144,23.71974,0.003018325,1.331792,0.2552007,21.60941,0.3263492,1.256265,0.1988506,19.87779,0.5251901,1.174488,0.1375639,19.12009,0.5044572,1.074928,0.1022248,18.76348,0.4817064,1.035199,0.07603644,2.166689,1.792906,0.7930374,0.3827953
1237662223524429996,9.964278352671166e+18,GALAXY,3900,301,1,280,166.943690909075,37.5086168153662,0.4532023,20.72321,0.46602,1.93057,0.04516974,20.46419,0.2507621,1.853744,0.03519595,20.0345,0.2467017,1.394644,0.0243484,19.79547,0.2996028,1.206369,0.01809347,19.76573,0.6034845,1.53153,0.01345822,0.2689934,0.4405365,0.2452946,0.03436661
1237680483564912994,8.715642441687126e+18,GALAXY,8151,301,5,82,6.47982256063176,30.6291123890097,0.5148697,20.73165,0.2542965,1.719462,0.3085661,20.27127,0.2198653,1.939643,0.2404326,19.83463,0.2439521,1.43318,0.1663302,19.63696,0.168567,1.277825,0.1236011,19.54974,0.3663984,1.575407,0.09193654,0.528511,0.5107384,0.240406,0.118885
1237656906343711123,1.2430188347769754e+18,GALAXY,2662,301,1,109,334.0134588112,-0.923673260251187,0.145384,20.61184,0.04961226,1.314338,0.4325265,20.09023,0.321446,1.271375,0.3370217,19.7929,0.2137356,0.9682032,0.2331501,19.50756,0.213672,0.9356557,0.1732555,19.67159,0.09911544,1.087175,0.1288702,0.6171112,0.4012012,0.3452415,-0.1196442
1237651190817423782,7.181248921909613e+18,GALAXY,1331,301,3,131,123.619551567037,45.0816710572554,0.2937848,21.80543,0.2794263,1.157616,0.3191218,20.7236,0.2054973,1.138051,0.2486576,19.91121,0.3758935,1.131837,0.1720202,19.45284,0.5847721,0.9891887,0.1278294,19.00408,0.4663556,0.9670476,0.0950816,1.152294,0.8890266,0.5025711,0.4815025
1237667227155366173,2.634691881425988e+18,GALAXY,5065,301,1,189,47.3473681390402,4.41799497104008,0.7825623,20.63488,0.50743,1.769146,0.812238,19.89745,0.2279701,1.535942,0.6328903,19.64649,0.004930385,1.367162,0.4378306,19.54786,0.001639833,1.30551,0.3253551,19.41641,0.1981693,1.555713,0.2420044,0.9167767,0.4460239,0.2111053,0.2147923
1237655349963129285,7.559548543792599e+18,GALAXY,2299,301,6,234,233.777945701837,53.3414577318602,0.4667,26.89666,0.001005594,1.734611,0.08556695,21.42671,1.501862,1.598697,0.06667319,20.04005,0.7619222,1.518239,0.0461242,19.22934,0.7854616,1.342187,0.03427523,18.91628,0.5684643,1.477073,0.02549447,5.488846,1.407204,0.8225632,0.3218403
1237664880488284468,3.3292984746876355e+18,GALAXY,4518,301,6,123,145.403251789216,31.9383942662541,0.3723016,21.16061,1.040988,1.380698,0.080171,20.67532,0.4781015,1.310258,0.06246871,20.04699,0.27675,1.388595,0.04321556,19.93552,0.3891188,1.226366,0.03211379,19.98424,0.9467751,1.140918,0.02388676,0.5030003,0.647583,0.1225643,-0.04048729
1237663783144259919,1.2002766892176773e+18,GALAXY,4263,301,2,430,47.0904588124933,-0.804726150211885,0.4138428,20.82211,0.366358,1.314656,0.2622759,20.51179,0.3771,1.096702,0.2043636,19.94839,0.3165537,1.058442,0.1413778,19.82961,0.3762413,0.9190611,0.1050589,19.56217,0.2595029,0.9699059,0.07814449,0.3682346,0.6263885,0.1550961,0.2943592
1237665428109460550,4.584855825647161e+18,GALAXY,4646,301,2,319,242.227858589203,16.7081932595088,0.4998296,25.85892,0.06706288,1.54497,0.2010986,21.48494,0.7897763,1.43023,0.1566947,19.89567,0.7698144,1.21496,0.1084006,19.07175,0.5422001,1.099606,0.08055329,18.59722,0.6327635,1.128742,0.05991685,4.418383,1.637564,0.8517723,0.4951687
1237661360767500397,5.823328692638863e+18,GALAXY,3699,301,2,198,220.849988008456,40.6481603725224,0.07410977,20.97339,0.2360928,1.453648,0.05844168,20.19052,0.165483,1.249117,0.04553736,20.05901,0.2446994,1.241711,0.03150254,19.66761,0.1942309,1.159108,0.02340976,19.76364,0.47657,1.006025,0.01741256,0.7957764,0.1455421,0.399498,-0.0900383
1237660562968871275,1.251325940278102e+19,GALAXY,3513,301,4,69,120.703282052187,25.8871740078763,0.6531606,20.42294,0.1264169,1.115536,0.1396153,20.14509,0.1258001,1.08895,0.1087873,19.98666,0.0560506,0.9029778,0.07525852,19.75168,0.1053394,0.8314282,0.05592515,19.77178,0.1566236,0.9011123,0.04159804,0.3086796,0.1919613,0.2543144,-0.005775452
